iter	Passed	Remaining
1631	11726	17015
1632	11734	17009
1633	11745	17007
1634	11754	17002
1635	11772	17010
1636	11783	17009
1637	11796	17010
1638	11803	17003
1639	11810	16995
1640	11818	16988
1641	11827	16984
1642	11833	16976
1643	11840	16968
1644	11848	16962
1645	11858	16959
1646	11866	16953
1647	11874	16946
1648	11881	16940
1649	11895	16942
1650	11901	16933
1651	11909	16927
1652	11916	16920
1653	11923	16911
1654	11930	16904
1655	11937	16897
1656	11945	16890
1657	11951	16882
1658	11957	16872
1659	11965	16866
1660	11972	16859
1661	11980	16853
1662	11987	16846
1663	11996	16840
1664	12003	16833
1665	12010	16825
1666	12015	16816
1667	12022	16807
1668	12029	16800
1669	12034	16791
1670	12040	16782
1671	12056	16786
